group,index.3,Cabin_num_entire,Cabin_num_died,Cabin_num_rate
0.0,45,134,63,47.01492537313433
1.0,145,146,63,43.15068493150685
2.0,245,154,83,53.896103896103895
3.0,345,106,53,50.0
4.0,445,126,61,48.41269841269841
5.0,545,147,70,47.61904761904761
6.0,645,136,63,46.32352941176471
7.0,745,125,58,46.400000000000006
8.0,845,147,72,48.97959183673469
9.0,945,155,73,47.096774193548384
10.0,1045,123,60,48.78048780487805
11.0,1145,116,58,50.0
12.0,1245,137,56,40.87591240875913
13.0,1345,114,53,46.49122807017544
14.0,1445,121,51,42.14876033057851
15.0,1545,121,54,44.62809917355372
16.0,1645,102,49,48.03921568627451
17.0,1745,116,59,50.86206896551724
18.0,1845,129,64,49.6124031007752
19.0,1945,112,56,50.0
20.0,2045,103,47,45.63106796116505
21.0,2145,113,51,45.13274336283185
22.0,2245,124,56,45.16129032258064
23.0,2345,116,51,43.96551724137931
24.0,2445,104,44,42.30769230769231
25.0,2545,112,47,41.964285714285715
26.0,2645,120,55,45.83333333333333
27.0,2745,106,55,51.886792452830186
28.0,2845,185,68,36.75675675675676
29.0,2945,87,40,45.97701149425287
30.0,3045,89,46,51.68539325842697
31.0,3145,82,39,47.5609756097561
32.0,3245,69,35,50.72463768115942
33.0,3345,72,36,50.0
34.0,3445,54,35,64.81481481481481
35.0,3192,44,29,65.9090909090909
36.0,3645,37,20,54.054054054054056
37.0,3745,50,32,64.0
38.0,3845,45,28,62.22222222222222
39.0,3945,43,29,67.44186046511628
40.0,3640,32,23,71.875
41.0,3729,43,29,67.44186046511628
42.0,3822,50,33,66.0
43.0,4345,51,37,72.54901960784314
44.0,4004,43,28,65.11627906976744
45.0,4545,48,23,47.91666666666667
46.0,4645,55,38,69.0909090909091
47.0,4745,48,35,72.91666666666666
48.0,4845,38,23,60.526315789473685
49.0,4451,35,23,65.71428571428571
50.0,3526,36,21,58.333333333333336
51.0,4627,38,25,65.78947368421053
52.0,5245,51,29,56.86274509803921
53.0,5345,53,30,56.60377358490566
54.0,5445,51,27,52.94117647058824
55.0,4993,44,28,63.63636363636363
56.0,5085,39,25,64.1025641025641
57.0,5745,54,31,57.407407407407405
58.0,5845,43,22,51.162790697674424
59.0,5945,40,26,65.0
60.0,4831,41,20,48.78048780487805
61.0,5534,26,15,57.692307692307686
62.0,4369,18,14,77.77777777777779
63.0,4441,30,14,46.666666666666664
64.0,4516,23,12,52.17391304347826
65.0,5240,36,19,52.77777777777778
66.0,5979,30,18,60.0
67.0,6068,23,14,60.86956521739131
68.0,4795,19,13,68.42105263157895
69.0,6250,34,21,61.76470588235294
70.0,7045,31,12,38.70967741935484
71.0,5006,22,12,54.54545454545454
72.0,5801,25,15,60.0
73.0,6615,41,21,51.21951219512195
74.0,5960,28,14,50.0
75.0,7545,35,21,60.0
76.0,6885,35,15,42.857142857142854
77.0,5420,21,13,61.904761904761905
78.0,6276,27,15,55.55555555555556
79.0,6355,26,11,42.30769230769231
80.0,7243,27,14,51.85185185185185
81.0,6514,33,18,54.54545454545454
82.0,7418,26,12,46.15384615384615
83.0,5843,24,13,54.166666666666664
84.0,7605,28,12,42.857142857142854
85.0,7695,38,15,39.473684210526315
86.0,4328,15,8,53.333333333333336
87.0,7871,30,15,50.0
88.0,7075,34,15,44.11764705882353
89.0,7163,28,15,53.57142857142857
90.0,6327,29,10,34.48275862068966
91.0,4569,20,7,35.0
92.0,7397,29,14,48.275862068965516
93.0,7478,29,12,41.37931034482759
94.0,6605,25,10,40.0
95.0,6684,28,15,53.57142857142857
96.0,6754,23,9,39.130434782608695
97.0,8770,31,16,51.61290322580645
98.0,5904,22,9,40.909090909090914
99.0,8949,35,15,42.857142857142854
100.0,7027,27,11,40.74074074074074
101.0,5083,19,9,47.368421052631575
102.0,8191,37,14,37.83783783783784
103.0,9306,33,16,48.484848484848484
104.0,7320,33,18,54.54545454545454
105.0,8435,26,10,38.46153846153847
106.0,9581,25,15,60.0
107.0,8597,28,12,42.857142857142854
108.0,7598,26,10,38.46153846153847
109.0,5482,17,7,41.17647058823529
110.0,9944,34,18,52.94117647058824
111.0,8916,30,15,50.0
112.0,8995,23,11,47.82608695652174
113.0,10215,32,19,59.375
114.0,9159,30,13,43.333333333333336
115.0,5774,20,10,50.0
116.0,9320,26,15,57.692307692307686
117.0,8222,18,13,72.22222222222221
118.0,10663,23,15,65.21739130434783
119.0,10749,31,23,74.19354838709677
120.0,10838,31,21,67.74193548387096
121.0,9713,26,17,65.38461538461539
122.0,8577,21,14,66.66666666666666
123.0,12345,36,19,52.77777777777778
124.0,9958,26,17,65.38461538461539
125.0,11295,27,14,51.85185185185185
126.0,10120,31,20,64.51612903225806
127.0,10195,34,21,61.76470588235294
128.0,8998,23,14,60.86956521739131
129.0,11654,27,17,62.96296296296296
130.0,11742,27,20,74.07407407407408
131.0,13145,46,21,45.65217391304348
132.0,10595,24,16,66.66666666666666
133.0,13345,34,18,52.94117647058824
134.0,9411,19,13,68.42105263157895
135.0,13545,30,20,66.66666666666666
136.0,12278,32,21,65.625
137.0,13745,26,16,61.53846153846154
138.0,12456,26,16,61.53846153846154
139.0,12551,28,18,64.28571428571429
140.0,11240,20,14,70.0
141.0,14145,45,27,60.0
142.0,11400,19,12,63.1578947368421
143.0,14345,36,20,55.55555555555556
144.0,11562,24,15,62.5
145.0,13094,33,24,72.72727272727273
146.0,14645,38,24,63.1578947368421
147.0,13268,31,19,61.29032258064516
148.0,13363,24,17,70.83333333333334
149.0,14945,38,19,50.0
150.0,12039,21,12,57.14285714285714
151.0,6063,6,5,83.33333333333334
152.0,10674,10,9,90.0
153.0,9214,9,8,88.88888888888889
154.0,10811,14,9,64.28571428571429
155.0,10880,17,11,64.70588235294117
156.0,3121,7,6,85.71428571428571
